404, 518, 550, 705, 777, 909, 1081, 1115, 1309, 1317, 2464, 1943, 1881, 1928, 2044, 2532, 2679, 2808, 3036, 3934, 3747, 5054, 4171, 4229, 5036, 5019, 5372, 6181, 6796, 7353, 7357, 8559, 9386, 11109, 12151, 14683, 17088, 15918, 13833, 14486, 15090, 17911, 22269, 29758, 20865, 22617, 26653, 25272, 24323, 28979, 26177, 30356, 34404, 28770, 30692, 33772, 34307, 35899, 36325, 34207, 41852, 50118, 73535, 53813, 55849, 56041, 54681, 64604, 70330, 70684, 61587, 63065, 67177, 71381, 85397, 91205, 104253, 111115, 85597, 90302, 85121, 89733, 117677, 103721, 106633, 106110, 148190, 171864, 151663, 152411, 153082, 172072, 193030, 196926, 181742, 194799, 196266, 203252, 
433, 452, 619, 657, 696, 813, 1389, 1077, 939, 1133, 1223, 1824, 1841, 1961, 2351, 2679, 2249, 2637, 3123, 3590, 3644, 3876, 4134, 4537, 5793, 5516, 7021, 6160, 6117, 6699, 7838, 7649, 9225, 9379, 9582, 10095, 10466, 12006, 12721, 13216, 17478, 14575, 16743, 17941, 17817, 20032, 19681, 22218, 21054, 23748, 26082, 25506, 28438, 39648, 36053, 33687, 36707, 37035, 46745, 54284, 49319, 53765, 55046, 50953, 52301, 55212, 59132, 66493, 72354, 68883, 71224, 73447, 82983, 84479, 83770, 90339, 95118, 105345, 104730, 106219, 111345, 136001, 117766, 150470, 140797, 134148, 140088, 154837, 150929, 152821, 144676, 163554, 190039, 155566, 146460, 171784, 252465, 169295, 
344, 416, 538, 545, 723, 832, 887, 850, 1154, 1008, 1197, 1478, 1404, 1616, 1872, 1840, 2388, 2443, 2344, 2947, 2945, 3295, 3402, 3980, 4492, 4357, 4642, 6025, 6246, 7410, 7904, 8232, 8206, 9068, 9246, 9861, 12319, 12021, 11539, 11883, 13444, 14569, 15000, 17172, 17123, 17955, 17677, 19868, 24659, 22395, 24247, 23466, 25473, 29721, 28519, 30693, 31348, 35539, 41860, 46064, 46830, 48773, 50584, 48371, 52375, 55096, 58995, 57543, 60679, 56196, 55891, 75164, 104316, 69150, 76496, 78455, 92775, 107996, 116713, 108710, 125537, 115147, 123807, 142565, 131296, 136438, 156064, 147648, 152641, 205221, 165630, 184094, 162595, 156708, 205765, 194191, 215135, 211270, 
443, 513, 608, 632, 721, 914, 906, 1079, 1216, 1255, 1422, 1553, 2017, 1981, 1992, 2362, 2164, 3075, 3256, 2875, 3418, 4457, 5183, 4668, 4634, 4756, 5801, 5955, 6724, 7178, 7258, 8212, 9342, 9646, 11360, 10492, 11925, 13506, 14848, 15200, 15388, 16167, 18744, 20746, 31585, 26635, 31671, 27375, 23560, 25906, 26384, 29637, 33131, 36429, 38329, 35707, 35374, 37456, 44568, 42761, 44640, 56879, 56571, 56608, 64450, 61012, 65287, 71164, 70967, 73100, 76188, 75671, 91380, 85942, 86854, 82941, 105300, 127247, 122329, 111787, 123508, 117324, 126371, 151662, 135712, 149969, 160062, 154191, 168587, 147909, 175304, 161725, 194342, 170517, 170452, 190830, 213914, 224790, 
546, 527, 672, 730, 847, 888, 1041, 982, 1116, 1088, 1583, 1745, 1847, 2240, 2093, 2364, 2237, 2872, 3304, 3558, 3731, 3931, 4619, 4436, 5086, 5222, 5976, 5979, 6799, 7908, 7962, 9038, 9028, 9806, 10862, 11110, 12550, 15325, 16425, 16378, 16208, 16745, 17925, 18339, 18666, 22186, 25088, 24251, 23533, 26036, 31684, 30603, 32423, 34446, 32120, 35527, 47126, 46409, 57498, 47692, 46775, 50390, 59883, 59201, 60197, 68614, 67091, 69530, 71805, 77094, 83324, 78715, 83256, 88885, 98453, 104678, 96869, 102124, 121274, 115587, 139569, 177584, 129697, 134424, 149464, 160957, 158411, 177395, 163471, 180757, 180687, 179152, 199926, 220788, 246750, 225224, 245277, 252072, 
538, 527, 676, 752, 702, 976, 1012, 969, 1134, 1645, 1800, 1761, 1866, 1929, 2172, 2184, 2633, 2895, 3108, 3261, 3566, 4184, 4440, 4765, 5133, 6029, 5875, 7438, 8486, 7678, 8345, 8735, 8983, 10469, 12525, 12388, 14903, 14495, 15500, 15666, 18198, 16592, 18509, 18766, 20984, 21676, 22985, 23296, 28179, 27963, 28885, 30444, 32954, 34887, 35985, 36649, 36990, 46858, 57590, 63204, 49374, 55600, 58514, 61157, 66247, 66083, 72322, 69386, 78184, 86687, 87521, 84906, 87035, 100822, 95067, 99800, 103703, 136746, 120044, 113087, 134100, 158043, 128875, 151496, 142057, 157834, 161968, 157530, 185638, 172940, 195744, 189774, 199365, 220914, 270452, 227141, 240744, 216965, 
530, 571, 710, 879, 887, 990, 1134, 1103, 1419, 1492, 1656, 1784, 1643, 1910, 2470, 2727, 2837, 2982, 2956, 3535, 4287, 4905, 4809, 4989, 5780, 5973, 6426, 7023, 7463, 8084, 8779, 8728, 9462, 10907, 10702, 11460, 12253, 14729, 14677, 15481, 17129, 18778, 20987, 20989, 20173, 21532, 23626, 25899, 24358, 28925, 30108, 30384, 37233, 35100, 38979, 38736, 38648, 39657, 54346, 65589, 57800, 42887, 44418, 56943, 54295, 54209, 68061, 62419, 67663, 60112, 64720, 86279, 91676, 84305, 82187, 87903, 110908, 89145, 92625, 100430, 115320, 111388, 111449, 159324, 146566, 119276, 144225, 133194, 135671, 169559, 153551, 166705, 177257, 166255, 227833, 183794, 241131, 227496, 
447, 543, 598, 842, 880, 993, 1016, 994, 1151, 1176, 1537, 2204, 2073, 2220, 2320, 2936, 3000, 3558, 3693, 3837, 3740, 4316, 4794, 4978, 5221, 5196, 5716, 5766, 6039, 7449, 7697, 8300, 9257, 9330, 10792, 11977, 11853, 12863, 13698, 14973, 17427, 18018, 18495, 18909, 19661, 19166, 22183, 20864, 22158, 24553, 26767, 28623, 33180, 34372, 32347, 31916, 33336, 37671, 45613, 42559, 46185, 55102, 51438, 48513, 55279, 66608, 67001, 76473, 79459, 96032, 83257, 101939, 100202, 85002, 81233, 103125, 97214, 94804, 96552, 161244, 99867, 141978, 135757, 138737, 141259, 147364, 162268, 191685, 155591, 153046, 175859, 178699, 203905, 163594, 181878, 216262, 234134, 252624, 
507, 599, 675, 827, 950, 1122, 1149, 1309, 1359, 1561, 1909, 1965, 2105, 2290, 2755, 2735, 2926, 3384, 3664, 4063, 4841, 5564, 5630, 5596, 6111, 7163, 7447, 7268, 8260, 9960, 10108, 8796, 9503, 10050, 10731, 11902, 12978, 14526, 15148, 16248, 15598, 17311, 17412, 19820, 21140, 22883, 23478, 21978, 24582, 25271, 27626, 28290, 29747, 31172, 32348, 38821, 37539, 36604, 39512, 42497, 46963, 62395, 57447, 51449, 51279, 56395, 62263, 71379, 85667, 61035, 62109, 84493, 100237, 118255, 96360, 104155, 122530, 105519, 97702, 110488, 115430, 113175, 126030, 140357, 130577, 129571, 154480, 141552, 153206, 201574, 172510, 196620, 175934, 214756, 184237, 193899, 187234, 203207, 
441, 503, 595, 805, 1003, 966, 1067, 1301, 1252, 1582, 1522, 1525, 1833, 1723, 2385, 2169, 2890, 2811, 3257, 3158, 3637, 4399, 4156, 4553, 5482, 5642, 5156, 6354, 6469, 6912, 8093, 8637, 8562, 9800, 10449, 11575, 13582, 14559, 15713, 17572, 17294, 18295, 19689, 21563, 21569, 26153, 23258, 24699, 22419, 28026, 31512, 34052, 31885, 30697, 31841, 33085, 34777, 35802, 45796, 55490, 46727, 42731, 44116, 48086, 53302, 69044, 71397, 70094, 68574, 61627, 86564, 74515, 73275, 82196, 91260, 105873, 110187, 148662, 117364, 103391, 101414, 126767, 124887, 124606, 136791, 145928, 154059, 201244, 153344, 168199, 173871, 198112, 203687, 189867, 206724, 181133, 238218, 207276, 
