321552, 314481, 287635, 261072, 267391, 264982, 280325, 
419162, 275103, 240997, 233919, 230229, 254023, 277253, 
247405, 247487, 273698, 229182, 223755, 241876, 225647, 
262866, 249424, 254216, 284245, 254201, 272323, 255530, 
306385, 273055, 226961, 230314, 214805, 224349, 217924, 
324076, 273552, 205244, 247398, 223505, 195599, 189381, 
262010, 178319, 196650, 242485, 246982, 184022, 192288, 
226750, 205839, 197133, 199998, 188458, 180490, 230494, 
315406, 209366, 214739, 190387, 198707, 191472, 196507, 
234201, 188783, 229418, 204148, 256671, 216188, 198027, 
